BaseCode,SectionBreakStartKM,SectionBreakFinishKM
ARTC-12,198.88,198.9
ARTC-12,198.9,198.92
ARTC-12,198.92,198.94
ARTC-12,198.94,198.96
ARTC-12,198.96,198.98
ARTC-12,198.98,199
ARTC-12,199,199.02
ARTC-12,199.02,199.04
ARTC-12,199.04,199.06
ARTC-12,199.06,199.08
ARTC-12,199.08,199.1
ARTC-12,199.1,199.12
ARTC-12,199.12,199.14
ARTC-12,199.14,199.16
ARTC-12,199.16,199.18
ARTC-12,199.18,199.2
ARTC-12,199.2,199.22
ARTC-12,199.22,199.24
ARTC-12,199.24,199.26
ARTC-12,199.26,199.28
ARTC-12,199.28,199.3
ARTC-12,199.3,199.32
ARTC-12,199.32,199.34
ARTC-12,199.34,199.36
ARTC-12,199.36,199.38
ARTC-12,199.38,199.4
ARTC-12,199.4,199.42
ARTC-12,199.42,199.44
ARTC-12,199.44,199.46
ARTC-12,199.46,199.48
ARTC-12,199.48,199.5
ARTC-12,199.5,199.52
ARTC-12,199.52,199.54
ARTC-12,199.54,199.56
ARTC-12,199.56,199.58
ARTC-12,199.58,199.6
ARTC-12,199.6,199.62
ARTC-12,199.62,199.64
ARTC-12,199.64,199.66
ARTC-12,199.66,199.68
ARTC-12,199.68,199.7
ARTC-12,199.7,199.72
ARTC-12,199.72,199.74
ARTC-12,199.74,199.76
ARTC-12,199.76,199.78
ARTC-12,199.78,199.8
ARTC-12,199.8,199.82
ARTC-12,199.82,199.84
ARTC-12,199.84,199.86
ARTC-12,199.86,199.88
ARTC-12,199.88,199.9
ARTC-12,199.9,199.92
ARTC-12,199.92,199.94
ARTC-12,199.94,199.96
ARTC-12,199.96,199.98
ARTC-12,199.98,200
ARTC-12,200,200.02
ARTC-12,200.02,200.04
ARTC-12,200.04,200.06
ARTC-12,200.06,200.08
ARTC-12,200.08,200.1
ARTC-12,200.1,200.12
ARTC-12,200.12,200.14
ARTC-12,200.14,200.16
ARTC-12,200.16,200.18
ARTC-12,200.18,200.2
ARTC-12,200.2,200.22
ARTC-12,200.22,200.24
ARTC-12,200.24,200.26
ARTC-12,200.26,200.28
ARTC-12,200.28,200.3
ARTC-12,200.3,200.32
ARTC-12,200.32,200.34
ARTC-12,200.34,200.36
ARTC-12,200.36,200.38
ARTC-12,200.38,200.4
ARTC-12,200.4,200.42
ARTC-12,200.42,200.44
ARTC-12,200.44,200.46
ARTC-12,200.46,200.48
ARTC-12,200.48,200.5
ARTC-12,200.5,200.52
ARTC-12,200.52,200.54
ARTC-12,200.54,200.56
ARTC-12,200.56,200.58
ARTC-12,200.58,200.6
ARTC-12,200.6,200.62
ARTC-12,200.62,200.64
ARTC-12,200.64,200.66
ARTC-12,200.66,200.68
ARTC-12,200.68,200.7
ARTC-12,200.7,200.72
ARTC-12,200.72,200.74
ARTC-12,200.74,200.76
ARTC-12,200.76,200.78
ARTC-12,200.78,200.8
ARTC-12,200.8,200.82
ARTC-12,200.82,200.84
ARTC-12,200.84,200.86
ARTC-12,200.86,200.88
ARTC-12,200.88,200.9
ARTC-12,200.9,200.92
ARTC-12,200.92,200.94
ARTC-12,200.94,200.96
ARTC-12,200.96,200.98
ARTC-12,200.98,201
ARTC-12,201,201.02
ARTC-12,201.02,201.04
ARTC-12,201.04,201.06
ARTC-12,201.06,201.08
ARTC-12,201.08,201.1
ARTC-12,201.1,201.12
ARTC-12,201.12,201.14
ARTC-12,201.14,201.16
ARTC-12,201.16,201.18
ARTC-12,201.18,201.2
ARTC-12,201.2,201.22
ARTC-12,201.22,201.24
ARTC-12,201.24,201.26
ARTC-12,201.26,201.28
ARTC-12,201.28,201.3
ARTC-12,201.3,201.32
ARTC-12,201.32,201.34
ARTC-12,201.34,201.36
